datetime	o2_epil	o2_hypo	o2_total	vol_epil	vol_hypo	vol_total
1987-06-03T00:00:00Z	4089465182366.5566	603816347518.457	4693281529885.014	392330170.58644104	108755510.64056998	501085681.227011
1987-06-04T00:00:00Z	4480589828001.334	363542399998.5306	4844132227999.864	430231423.3276632	70854257.89934784	501085681.227011
1987-06-05T00:00:00Z	4420404196773.238	361936776686.8084	4782340973460.047	427117034.57568383	73968646.6513272	501085681.227011
1987-06-06T00:00:00Z	4205588521348.6523	421483273780.5651	4627071795129.218	411683321.0299956	89402360.1970154	501085681.227011
1987-06-07T00:00:00Z	3525733918976.408	663074702582.1006	4188808621558.509	357249859.2628689	143835821.96414214	501085681.227011
1987-06-08T00:00:00Z	3990375889339.358	424786591275.2826	4415162480614.641	402867414.18984723	98218267.0371638	501085681.227011
1987-06-09T00:00:00Z	3665976818237.4546	528792791982.38617	4194769610219.841	375110412.3535744	125975268.87343663	501085681.227011
1987-06-10T00:00:00Z	3440143604972.984	590963450285.3326	4031107055258.3164	355827124.06468385	145258557.16232717	501085681.227011
1987-06-11T00:00:00Z	3623881884545.869	489365757478.9062	4113247642024.7754	375309651.3704079	125776029.85660315	501085681.227011
1987-06-12T00:00:00Z	3724506285617.626	425473005273.6772	4149979290891.303	386768836.4242231	114316844.8027879	501085681.227011
1987-06-13T00:00:00Z	3827713898796.1797	365115730853.6627	4192829629649.8423	398248664.5979984	102837016.62901264	501085681.227011
1987-06-14T00:00:00Z	3414428635977.884	485958742680.2977	3900387378658.1816	360494315.3508287	140591365.87618232	501085681.227011
1987-06-15T00:00:00Z	2912382243733.742	623318652264.776	3535700895998.518	316186342.7005182	184899338.52649283	501085681.227011
1987-06-16T00:00:00Z	2745822658195.1094	654607847748.8384	3400430505943.9478	301080451.7067349	200005229.52027613	501085681.227011
1987-06-17T00:00:00Z	2597482513088.1377	676577859819.9807	3274060372908.118	288213546.3464643	212872134.88054675	501085681.227011
1987-06-18T00:00:00Z	2516129727532.154	677888069008.4768	3194017796540.631	281354265.916089	219731415.31092203	501085681.227011
1987-06-19T00:00:00Z	2225313661876.9043	745812662911.0254	2971126324787.9297	252939552.21990728	248146129.00710374	501085681.227011
1987-06-20T00:00:00Z	2388981434581.5005	669475299302.612	3058456733884.1123	270940013.44372225	230145667.78328878	501085681.227011
